seed,task_name,task_id,num_simulations,time_logprob_ratio,time_logprob_auto,time_logprob_ratio_cumsum,time_logprob_auto_cumsum
0,gaussian_linear,3,10000,"[28.71646094  0.76116824  0.76495194  0.75841379  0.75873566  0.75900745
  0.75694323  0.75738454  0.75856495  0.76068878  0.7582202   0.757833
  0.75694752  0.75759768  0.75724912  0.75680065  0.75857878  0.75813842
  0.75879145  0.75664973]","[29.304425   29.20047641 28.78786516 28.96256375 29.61762309 29.65701103
 29.9322257  29.48309708 29.50694656 30.33928823 29.78445864 29.74939084
 29.53275609 30.13951802 29.86498427 29.70148659 29.75547361 30.54881001
 29.53086185 30.21028304]","[28.71646094 29.47762918 30.24258113 31.00099492 31.75973058 32.51873803
 33.27568126 34.0330658  34.79163074 35.55231953 36.31053972 37.06837273
 37.82532024 38.58291793 39.34016705 40.0969677  40.85554647 41.61368489
 42.37247634 43.12912607]","[ 29.304425    58.50490141  87.29276657 116.25533032 145.87295341
 175.52996445 205.46219015 234.94528723 264.45223379 294.79152203
 324.57598066 354.3253715  383.85812759 413.99764562 443.86262989
 473.56411648 503.31959009 533.8684001  563.39926195 593.60954499]"
0,gaussian_linear,4,10000,"[29.11167574  0.76536965  0.77072716  0.77631664  0.77126241  0.77092719
  0.77143192  0.76947117  0.76929402  0.76898885  0.76923442  0.76998401
  0.7722404   0.77245593  0.77105451  0.77042031  0.7711277   0.76911783
  0.77168536  0.76779771]","[29.93058634 29.76543713 29.16926694 29.95324183 29.57309294 29.82582045
 29.99680352 29.90440059 29.33072495 29.43072772 29.86973238 29.59071565
 29.91489577 30.06942129 29.96503687 29.98843026 29.99016833 30.15557194
 29.870152   30.17466092]","[29.11167574 29.87704539 30.64777255 31.42408919 32.1953516  32.96627879
 33.73771071 34.50718188 35.27647591 36.04546475 36.81469917 37.58468318
 38.35692358 39.12937951 39.90043402 40.67085433 41.44198203 42.21109986
 42.98278522 43.75058293]","[ 29.93058634  59.69602346  88.8652904  118.81853223 148.39162517
 178.21744561 208.21424913 238.11864972 267.44937468 296.8801024
 326.74983478 356.34055042 386.2554462  416.32486749 446.28990436
 476.27833462 506.26850295 536.42407489 566.29422688 596.46888781]"
0,gaussian_linear,5,10000,"[28.97715998  0.77402639  0.77315068  0.77184892  0.77224731  0.77515674
  0.7734673   0.77031708  0.77180791  0.77087855  0.77027392  0.77334142
  0.7752924   0.77201819  0.77108669  0.77111554  0.7732923   0.77088261
  0.77223921  0.77353048]","[29.25266957 29.59145904 29.7752347  29.15153503 29.10640335 29.91722965
 29.78564143 29.21171355 29.44243622 29.45944428 30.30877185 29.43260789
 29.41771841 29.2750051  29.89877844 29.19905162 29.27392387 29.57408786
 29.57180452 30.16491985]","[28.97715998 29.75118637 30.52433705 31.29618597 32.06843328 32.84359002
 33.61705732 34.3873744  35.15918231 35.93006086 36.70033479 37.4736762
 38.2489686  39.0209868  39.79207349 40.56318903 41.33648133 42.10736394
 42.87960315 43.65313363]","[ 29.25266957  58.84412861  88.61936331 117.77089834 146.87730169
 176.79453135 206.58017278 235.79188633 265.23432255 294.69376683
 325.00253868 354.43514657 383.85286498 413.12787008 443.02664852
 472.22570014 501.49962401 531.07371187 560.6455164  590.81043625]"
1,gaussian_linear,3,10000,"[29.01186514  0.77203321  0.77092457  0.76988959  0.77316952  0.7692399
  0.77308178  0.77030754  0.77234459  0.7710166   0.77022433  0.76998711
  0.77076364  0.76968884  0.76740384  0.76805878  0.76845765  0.7776494
  0.77114892  0.76802921]","[29.67309546 29.08111882 28.88984513 29.0509057  29.10485101 29.15888309
 29.94287467 29.64488053 29.47233033 29.6600008  28.96877265 29.46973372
 29.60043502 29.13556623 29.48777676 30.23032093 29.92433167 29.35670733
 29.55757999 29.6287899 ]","[29.01186514 29.78389835 30.55482292 31.32471251 32.09788203 32.86712193
 33.64020371 34.41051126 35.18285584 35.95387244 36.72409678 37.49408388
 38.26484752 39.03453636 39.8019402  40.56999898 41.33845663 42.11610603
 42.88725495 43.65528417]","[ 29.67309546  58.75421429  87.64405942 116.69496512 145.79981613
 174.95869923 204.9015739  234.54645443 264.01878476 293.67878556
 322.64755821 352.11729193 381.71772695 410.85329318 440.34106994
 470.57139087 500.49572253 529.85242987 559.41000986 589.03879976]"
1,gaussian_linear,4,10000,"[28.97812033  0.77831888  0.7760458   0.77599669  0.77951694  0.77736926
  0.76873207  0.77891707  0.76963878  0.76878309  0.76842022  0.77201748
  0.77284694  0.76823163  0.76837945  0.77165723  0.7683146   0.76856327
  0.76844716  0.76955533]","[29.20057821 29.49922085 29.17528725 29.21622539 28.61759233 29.5837152
 29.48281813 28.66431046 29.05445075 29.57808876 29.32204747 29.40875173
 28.83686662 29.01994658 29.33147573 28.8785181  28.91320419 29.30937266
 28.92644978 29.50576973]","[28.97812033 29.75643921 30.53248501 31.30848169 32.08799863 32.86536789
 33.63409996 34.41301703 35.18265581 35.9514389  36.71985912 37.4918766
 38.26472354 39.03295517 39.80133462 40.57299185 41.34130645 42.10986972
 42.87831688 43.64787221]","[ 29.20057821  58.69979906  87.87508631 117.09131169 145.70890403
 175.29261923 204.77543736 233.43974781 262.49419856 292.07228732
 321.39433479 350.80308652 379.63995314 408.65989971 437.99137545
 466.86989355 495.78309774 525.09247041 554.01892018 583.52468991]"
1,gaussian_linear,5,10000,"[28.19756889  0.75625396  0.75866342  0.76058841  0.76052117  0.76460552
  0.75579882  0.75548458  0.74912024  0.75161266  0.75135112  0.75636482
  0.77111578  0.76100373  0.75759363  0.75776768  0.7573905   0.75606775
  0.7572825   0.75598836]","[30.0965817  29.98402977 30.12036419 29.86129689 30.17004943 30.04751205
 30.36203647 29.51374197 29.04347825 28.99896598 29.31526923 29.07185555
 29.3155055  29.23818469 29.17970753 29.84417534 29.85132003 29.94903302
 29.23993134 29.78280902]","[28.19756889 28.95382285 29.71248627 30.47307467 31.23359585 31.99820137
 32.75400019 33.50948477 34.258605   35.01021767 35.76156878 36.51793361
 37.28904939 38.05005312 38.80764675 39.56541443 40.32280493 41.07887268
 41.83615518 42.59214354]","[ 30.0965817   60.08061147  90.20097566 120.06227255 150.23232198
 180.27983403 210.6418705  240.15561247 269.19909072 298.1980567
 327.51332593 356.58518147 385.90068698 415.13887167 444.3185792
 474.16275454 504.01407456 533.96310759 563.20303893 592.98584795]"
2,gaussian_linear,3,10000,"[28.62554169  0.75735927  0.76152587  0.75584412  0.75765204  0.75999784
  0.75742197  0.75650382  0.76024675  0.75498199  0.75646281  0.75863147
  0.76048732  0.75827026  0.75479531  0.75657129  0.75727797  0.75529504
  0.75706553  0.7560401 ]","[29.11006308 29.37619233 28.87993598 29.71384764 29.36329675 29.39303923
 29.20512629 29.25010228 29.26295328 30.10218883 29.82171154 29.3432982
 29.45805931 30.28136873 29.57602692 29.80370545 29.34967518 28.87795854
 29.24512434 29.97091532]","[28.62554169 29.38290095 30.14442682 30.90027094 31.65792298 32.41792083
 33.1753428  33.93184662 34.69209337 35.44707537 36.20353818 36.96216965
 37.72265697 38.48092723 39.23572254 39.99229383 40.7495718  41.50486684
 42.26193237 43.01797247]","[ 29.11006308  58.48625541  87.36619139 117.08003902 146.44333577
 175.836375   205.04150128 234.29160357 263.55455685 293.65674567
 323.47845721 352.82175541 382.27981472 412.56118345 442.13721037
 471.94091582 501.290591   530.16854954 559.41367388 589.3845892 ]"
2,gaussian_linear,4,10000,"[28.67852688  0.76186681  0.76020408  0.76076412  0.76207447  0.76071095
  0.76093817  0.75979042  0.76231647  0.76734233  0.75931525  0.76127648
  0.75928998  0.76524925  0.76150107  0.75973511  0.76192665  0.76373625
  0.75935411  0.76024866]","[29.57975674 30.24559188 30.21167612 30.69835186 30.00037408 29.35708284
 29.64941835 29.76400447 29.55236387 29.54697013 30.37732267 30.55881214
 30.75904441 30.2082808  29.65593457 31.0761559  29.3205514  29.28671789
 29.09805894 29.25066614]","[28.67852688 29.44039369 30.20059776 30.96136189 31.72343636 32.48414731
 33.24508548 34.0048759  34.76719236 35.53453469 36.29384995 37.05512643
 37.81441641 38.57966566 39.34116673 40.10090184 40.86282849 41.62656474
 42.38591886 43.14616752]","[ 29.57975674  59.82534862  90.03702474 120.7353766  150.73575068
 180.09283352 209.74225187 239.50625634 269.05862021 298.60559034
 328.98291302 359.54172516 390.30076957 420.50905037 450.16498494
 481.24114084 510.56169224 539.84841013 568.94646907 598.19713521]"
2,gaussian_linear,5,10000,"[28.34152126  0.77148771  0.77224684  0.77709126  0.77140999  0.77032232
  0.7714324   0.77272439  0.771384    0.76829267  0.77138662  0.77013445
  0.77084422  0.77120972  0.77011561  0.77119327  0.77030468  0.7640624
  0.76129055  0.76819706]","[29.37519407 29.5375824  29.52488637 29.68665886 30.03456903 29.4622457
 29.06701994 29.09597015 29.61665606 29.43939781 29.14706635 28.99175525
 30.1340909  30.36166525 30.03854489 29.7489965  29.34016585 29.99814844
 29.55613995 30.0448072 ]","[28.34152126 29.11300898 29.88525581 30.66234708 31.43375707 32.20407939
 32.97551179 33.74823618 34.51962018 35.28791285 36.05929947 36.82943392
 37.60027814 38.37148786 39.14160347 39.91279674 40.68310142 41.44716382
 42.20845437 42.97665143]","[ 29.37519407  58.91277647  88.43766284 118.1243217  148.15889072
 177.62113643 206.68815637 235.78412652 265.40078259 294.8401804
 323.98724675 352.979002   383.1130929  413.47475815 443.51330304
 473.26229954 502.60246539 532.60061383 562.15675378 592.20156097]"
3,gaussian_linear,3,10000,"[29.10008121  0.76500368  0.75804687  0.75744891  0.76154447  0.76245856
  0.75899625  0.75840116  0.75786424  0.75859451  0.75947356  0.75720954
  0.75997424  0.75803757  0.75825429  0.75810623  0.75924611  0.7594862
  0.75867772  0.7595408 ]","[28.81015897 29.77069497 29.57219863 29.38157439 29.62193704 29.78516936
 29.85903263 29.73613214 29.85955048 29.46175599 28.95898604 30.00655127
 28.94916582 29.47016573 28.83461642 29.55999589 29.37495947 29.21352696
 29.50533271 29.46814132]","[29.10008121 29.86508489 30.62313175 31.38058066 32.14212513 32.90458369
 33.66357994 34.4219811  35.17984533 35.93843985 36.69791341 37.45512295
 38.21509719 38.97313476 39.73138905 40.48949528 41.24874139 42.00822759
 42.76690531 43.5264461 ]","[ 28.81015897  58.58085394  88.15305257 117.53462696 147.156564
 176.94173336 206.80076599 236.53689814 266.39644861 295.8582046
 324.81719065 354.82374191 383.77290773 413.24307346 442.07768989
 471.63768578 501.01264524 530.22617221 559.73150492 589.19964623]"
3,gaussian_linear,4,10000,"[29.25231314  0.76042223  0.75921679  0.75890541  0.75967646  0.75931692
  0.75939941  0.75857496  0.75947499  0.75883031  0.75977874  0.75942636
  0.76155019  0.75930667  0.76047921  0.76551819  0.75963259  0.76107144
  0.76403403  0.7648735 ]","[29.48682189 29.23908234 29.99823761 29.98855376 29.81768632 30.29676008
 29.98780441 29.38684988 30.38523102 30.14380217 29.83952475 29.24331021
 29.23893738 29.93372846 29.67580795 29.49715352 29.46961689 29.96933699
 29.92418098 29.76238132]","[29.25231314 30.01273537 30.77195215 31.53085756 32.29053402 33.04985094
 33.80925035 34.56782532 35.32730031 36.08613062 36.84590936 37.60533571
 38.3668859  39.12619257 39.88667178 40.65218997 41.41182256 42.172894
 42.93692803 43.70180154]","[ 29.48682189  58.72590423  88.72414184 118.7126956  148.53038192
 178.827142   208.81494641 238.20179629 268.58702731 298.73082948
 328.57035422 357.81366444 387.05260181 416.98633027 446.66213822
 476.15929174 505.62890863 535.59824562 565.52242661 595.28480792]"
3,gaussian_linear,5,10000,"[28.02650571  0.75829673  0.75297594  0.75439239  0.75628257  0.75441337
  0.75856256  0.75468993  0.75459027  0.75486612  0.75500083  0.75698781
  0.75737596  0.75579214  0.75561976  0.75435376  0.75502324  0.75622821
  0.75634551  0.7562542 ]","[29.42729616 29.71413612 30.37397981 29.24841952 28.93623567 29.91206789
 29.95697904 29.6200943  29.31592917 29.22162437 29.94271779 29.74276638
 30.19548059 29.18874741 30.31047845 29.7527616  30.01110864 29.58294058
 29.95728159 30.18148065]","[28.02650571 28.78480244 29.53777838 30.29217076 31.04845333 31.8028667
 32.56142926 33.31611919 34.07070947 34.82557559 35.58057642 36.33756423
 37.09494019 37.85073233 38.60635209 39.36070585 40.11572909 40.8719573
 41.62830281 42.38455701]","[ 29.42729616  59.14143229  89.51541209 118.76383162 147.70006728
 177.61213517 207.56911421 237.18920851 266.50513768 295.72676206
 325.66947985 355.41224623 385.60772681 414.79647422 445.10695267
 474.85971427 504.87082291 534.45376348 564.41104507 594.59252572]"
4,gaussian_linear,3,10000,"[28.7381196   0.77532649  0.77071714  0.77091551  0.773839    0.77324843
  0.77152753  0.77092123  0.76763153  0.76991749  0.76920986  0.77538538
  0.77379751  0.77376723  0.77244401  0.77308488  0.77006435  0.77292657
  0.7713604   0.76954818]","[29.5355134  29.76669955 30.10333347 30.39116478 29.23614621 29.69342518
 29.03708792 30.33081508 30.04770207 29.18973899 28.89591551 29.04586887
 29.31094241 29.36892748 29.83127809 29.95909476 28.97070575 29.33086634
 29.40751624 29.76754522]","[28.7381196  29.51344609 30.28416324 31.05507874 31.82891774 32.60216618
 33.3736937  34.14461493 34.91224647 35.68216395 36.45137382 37.2267592
 38.00055671 38.77432394 39.54676795 40.31985283 41.08991718 41.86284375
 42.63420415 43.40375233]","[ 29.5355134   59.30221295  89.40554643 119.79671121 149.03285742
 178.7262826  207.76337051 238.09418559 268.14188766 297.33162665
 326.22754216 355.27341104 384.58435345 413.95328093 443.78455901
 473.74365377 502.71435952 532.04522586 561.4527421  591.22028732]"
4,gaussian_linear,4,10000,"[28.20877361  0.7691853   0.77117181  0.76878071  0.76905179  0.76794195
  0.76863718  0.76799297  0.76810956  0.76916552  0.76895642  0.76872039
  0.7699852   0.76823711  0.76767945  0.76972079  0.76692796  0.76810598
  0.77076697  0.76949215]","[29.08445716 29.29111171 29.16703701 29.75385857 29.41322422 29.90146995
 29.73963022 29.70233631 29.76202512 29.29253578 29.64535999 28.81694961
 28.94492245 28.97246861 29.05773568 28.90388536 29.01648664 29.24885535
 29.5290575  29.87777591]","[28.20877361 28.97795892 29.74913073 30.51791143 31.28696322 32.05490518
 32.82354236 33.59153533 34.35964489 35.12881041 35.89776683 36.66648722
 37.43647242 38.20470953 38.97238898 39.74210978 40.50903773 41.27714372
 42.04791069 42.81740284]","[ 29.08445716  58.37556887  87.54260588 117.29646444 146.70968866
 176.61115861 206.35078883 236.05312514 265.81515026 295.10768604
 324.75304604 353.56999564 382.51491809 411.4873867  440.54512239
 469.44900775 498.46549439 527.71434975 557.24340725 587.12118316]"
4,gaussian_linear,5,10000,"[29.54231644  0.76687622  0.77174091  0.76231885  0.76376152  0.75749516
  0.75761557  0.7532289   0.77455163  0.75650001  0.75789356  0.75503445
  0.7553792   0.75690222  0.75669146  0.75499296  0.76144648  0.75706935
  0.75652385  0.75568175]","[29.63040113 30.27911305 30.16263413 30.38666797 30.11927176 29.45644116
 29.40281034 29.55500698 29.31453228 29.50219655 30.0444808  30.55950236
 29.92170024 29.99847198 29.82934093 29.59191537 29.51787663 29.41922498
 29.58014822 29.47526431]","[29.54231644 30.30919266 31.08093357 31.84325242 32.60701394 33.36450911
 34.12212467 34.87535357 35.6499052  36.40640521 37.16429877 37.91933322
 38.67471242 39.43161464 40.18830609 40.94329906 41.70474553 42.46181488
 43.21833873 43.97402048]","[ 29.63040113  59.90951419  90.07214832 120.45881629 150.57808805
 180.03452921 209.43733954 238.99234653 268.30687881 297.80907536
 327.85355616 358.41305852 388.33475876 418.33323073 448.16257167
 477.75448704 507.27236366 536.69158864 566.27173686 595.74700117]"
